id,title,description,release_year,runtime,first_genre,second_genre,country,first_keyword,second_keyword,third_keyword,my_rating
tm467299,Anthony Jeselnik: Fire in the Maternity Ward,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",2019,64,comedy,no_second-genre,US,Anthony,Jeselnik,Fire,7.091597340008821
tm855600,The Stand In,"When ordered to serve a year in rehab, actress Candy hires her on-set stand-in to take her place. The unassuming woman flips the script and steals her identity, career and boyfriend in this hilarious comedy about trading places.",2020,97,comedy,drama,US,Stand,Candy,rehab,5.307797617126084
tm503508,Earthquake Bird,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",2019,107,romance,thriller,GB,Bird,Earthquake,friend,5.900000000000001
tm824165,Falling Inn Love,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",2019,98,romance,comedy,US,Inn,Love,Gabriela,6.059955030076269
tm425698,The Wedding Guest,"Jay is a man with a secret who travels from Britain to Pakistan to attend a wedding—armed with duct tape, a shotgun, and a plan to kidnap the bride-to-be. Jay and his hostage end up on the run across the border and through the railway stations, back alleys, and black markets of New Delhi.",2019,96,thriller,no_second-genre,IN,Wedding,Guest,Britain,5.746181176415278
tm446625,Miles Davis: Birth of the Cool,"A visionary, innovator, and originator who defied categorization and embodied the word cool—a foray into the life and career of musical and cultural icon Miles Davis.",2019,116,documentation,music,US,Davis,Miles,Birth,7.3999999999999995
tm918701,Don't Listen,"After the strange death of his young son at their new home, Daniel hears a ghostly plea for help, spurring him to seek out a renowned paranormal expert.",2020,98,thriller,horror,ES,Daniel,Listen,home,6.499999999999999
tm850723,Altered Carbon: Resleeved,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.",2020,75,scifi,animation,JP,Carbon,Resleeved,Latimer,6.5
tm855483,Have a Good Trip: Adventures in Psychedelics,"Celebrities recall their most mind-bending trips via animations, reenactments and more in this comedic documentary exploring the story of psychedelics.",2020,85,documentation,comedy,US,Adventures,Psychedelics,Good,6.861463539013831
tm475836,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,The Lonely Island spoofs Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.,2019,30,comedy,music,US,Lonely,Island,Bash,6.2
tm524282,Invader ZIM: Enter the Florpus,"ZIM discovers his almighty leaders never had any intention of coming to Earth and he loses confidence in himself for the first time in his life, which is the big break his human nemesis, Dib has been waiting for.",2019,71,drama,animation,US,ZIM,Enter,Dib,7.528128963221159
tm857051,Forensic,A forensic analyst and an investigation officer are on a chase to hunt down a gruesome serial killer and crack one of the most famous cold cases in the history of their departments.,2020,134,crime,thriller,IN,Forensic,departments,analyst,6.693382908813359
tm451548,The Fable,"Fable is a legendary yakuza hitman equal to none—but his boss orders him and his sultry associate to lay low and learn how to live a ""normal life"" in Osaka.",2019,123,comedy,action,JP,Fable,Osaka,normal,6.499999999999999
